,is_holiday,temperature,weekday,hour,month_day,year,month,traffic_volume,weather_type,weather_description
83,0,260.17,5,10,18,2013,1,4367,2,11
84,0,268.22,1,13,29,2016,2,4825,2,11
85,0,271.93,1,23,21,2015,12,1223,2,2
86,0,296.5,2,16,8,2014,7,6705,4,4
87,0,269.74,4,9,20,2012,12,4803,3,5
88,0,274.46,2,15,26,2013,2,5948,2,7
89,0,266.58,5,10,29,2013,11,3397,3,3
90,0,298.17,3,16,31,2016,8,6170,2,10
91,0,285.73,5,21,7,2013,6,3331,5,6
92,0,262.15,5,23,21,2012,12,1843,2,11
93,0,271.02,4,16,2,2017,3,6686,9,17
94,0,296.62,1,21,30,2016,5,2650,5,6
95,0,293.58,6,9,22,2015,8,3572,2,2
96,0,274.19,5,1,19,2013,4,338,9,17
97,0,278.54,7,19,27,2016,3,2675,2,10
98,0,291.34,6,4,27,2013,7,402,2,10
99,0,297.67,3,20,17,2016,8,2870,5,6
100,0,274.93,2,8,8,2014,4,6295,2,7
101,0,300.68,7,17,7,2016,8,4593,2,10
102,0,289.53,1,12,7,2013,10,4699,5,6
103,0,279.43,6,7,9,2013,11,2090,3,3
104,0,275.21,4,16,24,2016,11,2933,2,10
105,0,276.75,5,13,18,2016,11,4409,2,2
106,0,269.96,5,5,4,2014,4,2085,2,2
107,0,287.44,7,6,3,2016,7,1095,3,5
108,0,282.78,3,5,11,2016,5,2867,1,1
109,0,272.1,5,13,24,2014,1,5192,3,5
110,0,265.55,6,6,24,2012,11,1017,1,1
111,0,263.34,7,14,26,2014,1,3508,2,10
112,0,276.44,1,20,3,2012,12,2478,3,5
113,0,294.03,2,14,3,2016,5,5389,5,6
114,0,297.86,1,20,1,2013,7,2917,1,1
115,0,277.08,5,11,17,2017,3,5191,2,10
116,0,266.08,4,10,14,2016,1,4297,3,5
117,0,282.382,1,3,10,2016,10,302,3,5
118,0,273.02,3,18,30,2013,1,4679,2,7
119,0,251.15,7,11,5,2014,1,2627,3,5
120,0,288.47,2,7,13,2013,8,6480,1,1
121,0,257.31,4,15,6,2014,2,5730,2,10
122,0,257.79,2,6,15,2013,1,5434,1,1
123,0,276.86,3,20,31,2012,10,2690,2,7
124,0,266.67,3,1,9,2013,1,357,2,2
125,0,267.09,6,17,11,2017,3,5031,3,5
126,0,269.08,7,0,29,2017,1,1229,3,5
127,0,274.22,6,20,24,2016,12,2675,7,12
128,0,292.56,2,3,30,2016,8,356,3,5
129,0,272.26,3,22,27,2013,3,2672,3,5
130,0,281.14,2,8,13,2014,5,6086,4,20
131,0,278.95,3,15,14,2012,11,6415,8,13
132,0,288.07,1,3,19,2014,5,402,4,4
133,0,282.15,5,15,11,2016,11,5047,2,11
134,0,263.39,6,7,2,2016,1,1440,2,11
135,0,272.63,3,12,27,2013,2,4965,3,5
136,0,292.41,2,7,20,2013,8,6865,2,7
137,0,274.67,6,12,4,2013,5,4991,5,6
138,0,302.99,7,18,25,2013,8,4127,8,24
139,0,286.76,4,16,5,2015,11,6743,5,6
140,0,291.83,2,5,8,2015,9,2776,3,5
141,0,298.78,2,14,18,2013,6,5626,3,5
142,0,295.8,4,16,17,2015,9,6550,3,5
143,0,273.95,3,5,23,2016,3,2844,2,7
144,0,287.91,6,4,6,2016,8,680,1,16
145,0,286.665,3,10,5,2016,10,4293,5,6
146,0,289.85,4,9,12,2013,9,5687,5,6
147,0,276.23,5,8,26,2012,10,5856,4,4
148,0,295.76,3,11,10,2013,7,5078,9,17
149,0,287.606,1,23,31,2016,10,1019,2,10
150,0,275.66,5,19,11,2016,11,3276,2,11
151,0,277.08,5,14,19,2016,2,5567,2,11
152,0,251.15,3,6,1,2014,1,606,6,14
153,0,264.46,1,1,24,2012,12,401,4,4
154,0,271.12,7,0,21,2013,4,1351,2,10
155,0,260.24,2,4,10,2013,12,791,1,8
156,0,254.35,3,7,26,2012,12,4087,5,6
157,0,301.46,5,17,10,2015,7,5549,8,13
158,0,262.27,6,4,4,2017,2,482,2,10
159,0,272.61,2,5,16,2016,2,2714,2,7
160,0,297.67,4,17,4,2012,10,6057,5,6
161,0,260.61,6,17,13,2016,2,3832,4,15
162,0,286.623,1,21,17,2016,10,1969,3,5
163,0,293.17,6,14,14,2013,9,4663,2,2
164,0,287.94,7,10,9,2017,4,3389,5,6
165,0,281.69,1,17,28,2016,11,5339,2,7
166,0,278.15,4,9,20,2017,4,5226,2,2
167,0,275.49,7,18,10,2013,3,3590,1,1
168,0,278.88,7,21,30,2017,4,2118,3,5
169,0,285.64,3,12,9,2016,11,4479,2,10
170,0,275.22,1,23,29,2012,10,920,3,3
171,0,283.64,6,8,12,2016,3,3792,5,6
172,0,278.23,2,16,28,2017,2,6949,3,5
173,0,280.55,6,5,31,2015,10,721,2,10
174,0,288.78,6,3,9,2016,7,508,5,6
175,0,263.59,2,22,25,2014,3,1824,3,5
176,0,263.29,4,6,14,2013,3,4336,2,2
177,0,275.48,2,19,23,2016,2,3115,3,3
178,0,300.1,6,18,9,2016,7,3412,2,7
179,0,271.61,5,17,20,2015,11,6240,2,11
180,0,278.75,2,9,26,2016,4,5321,2,7
181,0,298.58,7,18,14,2016,8,3788,1,1
182,0,275.89,4,14,11,2013,4,4562,2,10
183,0,274.74,7,8,28,2016,2,1985,2,11
184,0,276.26,4,1,15,2012,11,325,5,6
185,0,289.77,1,18,14,2014,7,4494,3,5
186,0,299.01,6,14,6,2016,8,4773,2,10
187,0,289.47,6,0,4,2016,6,1259,5,6
188,0,282.22,1,5,14,2016,3,2776,2,7
189,0,292.2,6,5,25,2015,7,283,2,7
190,0,265.19,6,22,21,2013,12,2492,2,7
191,0,292.58,7,21,11,2016,9,2124,9,17
192,0,265.04,7,22,6,2013,1,1384,2,11
193,0,291.91,1,13,29,2013,7,5031,7,12
194,0,299.58,3,16,23,2014,7,6609,4,15
195,0,291.14,1,9,14,2015,9,4982,3,5
196,0,295.82,4,3,13,2015,8,368,9,17
197,0,275.15,7,16,4,2016,12,4242,2,7
198,0,297.69,6,22,15,2015,8,2826,1,8
199,0,275.88,7,0,12,2017,2,1196,4,4
200,0,267.61,5,10,1,2016,1,2059,1,1
201,0,275.96,4,3,6,2017,4,362,5,6
202,0,297.44,6,14,1,2013,6,4647,6,18
203,0,278.91,4,18,8,2012,11,4688,7,12
204,0,296.07,6,1,25,2016,6,1100,1,1
205,0,278.22,4,18,28,2016,4,4884,2,2
206,0,274.42,2,16,17,2017,1,6184,2,10
207,0,262.73,6,21,29,2012,12,2429,2,10
208,0,297.66,3,12,10,2013,7,5362,3,3
209,0,282.37,7,23,4,2015,10,915,2,10
210,0,277.46,7,16,21,2013,4,4358,3,5
211,0,270.59,1,23,4,2013,3,2298,2,11
212,0,269.4,1,12,17,2014,2,2965,1,1
213,0,269.39,5,21,7,2014,3,3130,4,4
214,0,283.68,1,2,8,2017,5,281,2,10
215,0,276.426,1,1,31,2016,10,329,3,5
216,0,286.94,4,23,8,2014,5,1160,2,7
217,0,286.74,7,17,4,2015,10,4137,2,10
218,0,279.13,3,12,13,2013,11,5045,2,7
219,0,293.97,2,19,7,2016,6,3554,1,8
220,0,290.86,6,2,2,2014,8,736,2,2
221,0,288.36,3,12,24,2012,10,4982,1,8
222,0,297.42,5,17,5,2017,5,5814,6,14
223,0,285.43,2,14,10,2016,5,5220,3,5
224,0,286.61,1,1,16,2016,5,394,3,3
225,0,256.82,1,10,14,2013,1,3943,4,15
226,0,265.72,5,10,27,2017,1,4667,2,10
227,0,290.08,3,1,19,2015,8,400,5,6
228,0,275.52,6,12,21,2017,1,5264,2,11
229,0,292.41,1,10,27,2016,6,3984,1,1
230,0,261.15,6,10,23,2013,11,4439,3,3
231,0,250.15,5,4,6,2017,1,841,4,4
232,0,255.58,5,9,28,2014,2,5102,4,4
233,0,273.74,4,12,7,2016,1,4879,5,6
234,0,263.39,3,23,5,2014,3,1445,3,5
235,0,269.21,3,19,19,2012,12,3353,9,17
236,0,284.68,1,18,12,2014,5,4298,5,6
237,0,275.85,2,6,22,2014,4,5764,3,5
238,0,290.07,2,19,1,2014,7,3389,9,17
239,0,291.46,6,3,27,2013,7,439,3,5
240,0,263.7,2,3,25,2014,3,346,2,10
241,0,275.31,4,12,2,2013,5,5133,1,8
242,0,295.06,6,22,27,2015,6,3348,2,10
243,0,282.97,1,21,31,2014,3,2111,4,20
244,0,287.63,2,11,30,2013,4,4780,8,27
245,0,275.15,4,18,1,2016,12,4331,3,5
246,0,287.92,4,9,20,2015,8,5071,2,7
247,0,265.02,7,22,5,2017,2,2485,3,5
248,0,282.37,6,1,21,2013,9,716,2,2
249,0,274.72,1,21,10,2017,4,1864,2,11
250,0,286.55,7,19,18,2015,10,3512,5,6
251,0,295.2,7,3,2,2015,8,382,3,5
252,0,284.68,1,20,15,2012,10,2677,2,7
253,0,293.58,5,12,5,2017,5,5232,5,6
254,0,299.71,3,15,5,2015,8,5602,3,5
255,0,269.62,5,10,24,2017,2,4130,1,8
256,0,291.81,1,13,9,2014,6,4864,2,2
257,0,282.89,2,7,9,2017,5,7011,7,12
258,0,262.89,1,20,16,2013,12,2353,2,11
259,0,290.76,3,4,15,2016,6,1114,2,10
260,0,296.85,6,23,5,2014,7,2363,10,26
261,0,301.66,2,14,1,2015,9,5677,2,10
262,0,285.5,3,7,24,2012,10,5722,1,1
263,0,275.43,3,8,9,2016,3,6115,3,5
264,0,267.3,6,13,21,2013,12,4403,3,5
265,0,271.79,1,2,26,2012,11,258,3,5
266,0,294.51,5,20,5,2016,8,2755,2,10
267,0,297.003,3,10,24,2015,6,4723,1,8
268,0,272.39,3,23,6,2016,1,926,2,7
269,0,284.18,5,11,7,2013,6,5179,3,5
270,0,285.01,2,2,6,2015,10,268,3,3
271,0,295.62,4,17,30,2013,5,6591,2,10
272,0,271.11,6,17,8,2012,12,5327,2,7
273,0,276.36,3,23,2,2014,4,1008,1,8
274,0,287.99,1,23,29,2013,4,954,5,6
275,0,257.15,4,4,9,2017,2,878,3,5
276,0,296.43,3,4,10,2016,8,1045,2,10
277,0,299.48,1,17,7,2015,9,3798,3,3
278,0,259.98,4,7,24,2013,1,6870,3,5
279,0,274.15,2,23,15,2015,12,1177,7,12
280,0,275.22,7,6,26,2017,3,774,2,7
281,0,265.52,5,2,4,2013,1,301,3,5
282,0,286.665,3,9,5,2016,10,4859,3,5
283,0,273.75,6,6,7,2015,11,1256,4,4
284,0,276.69,4,18,23,2017,3,4531,3,5
285,0,284.13,1,13,12,2015,10,4549,2,11
286,0,295.88,6,23,19,2014,7,2319,6,9
287,0,276.8,6,4,29,2017,4,374,2,2
288,0,298.97,7,4,6,2015,9,355,4,4
289,0,276.11,3,7,7,2015,10,6054,3,3
290,0,303.64,5,16,30,2014,5,6234,3,5
291,0,291.03,3,10,26,2015,8,4781,3,3
292,0,263.65,1,12,8,2016,2,4462,5,6
293,0,295.69,6,21,24,2014,5,2792,5,6
294,0,272.22,7,1,6,2016,3,984,1,1
295,0,303.37,5,18,5,2013,7,3716,3,5
296,0,286.86,4,4,4,2013,7,369,1,1
297,0,284.48,1,20,16,2013,9,2881,3,5
298,0,282.05,3,14,10,2012,10,5227,3,5
299,0,263.63,7,0,22,2013,12,1098,2,2
300,0,283.31,3,16,13,2013,11,6846,3,5
301,0,279.09,6,18,25,2017,3,4350,3,5
302,0,290.89,1,10,6,2016,6,4642,2,7
303,0,262.2,4,19,21,2013,2,3431,5,6
304,0,296.19,4,11,5,2014,6,4832,2,11
305,0,259.72,2,23,19,2016,1,997,5,6
306,0,290.73,1,15,16,2016,5,5598,4,4
307,0,296.15,3,15,27,2016,7,4941,6,14
308,0,269.24,6,13,24,2012,11,4494,5,6
309,0,254.14,7,0,15,2013,12,1187,1,1
310,0,277.88,4,5,17,2013,10,2781,2,2
311,0,285.14,2,4,20,2016,9,1116,2,10
312,0,287.88,3,21,17,2017,5,2348,1,8
313,0,273.47,5,12,19,2013,4,4614,5,6
314,0,277.41,1,23,3,2012,12,1006,3,5
315,0,272.65,7,12,1,2013,12,3935,5,6
316,0,287.28,5,19,7,2017,4,4136,3,5
317,0,292.81,3,22,10,2016,8,1791,3,5
318,0,274.01,4,19,14,2013,2,3330,3,3
319,0,266.66,2,1,5,2016,1,351,3,5
320,0,255.68,3,19,14,2016,12,3197,2,2
321,0,259.24,5,9,22,2013,3,4730,4,4
322,0,286.79,6,22,10,2016,9,3013,1,1
323,0,264.78,7,21,6,2013,1,1669,4,15
324,0,246.39,2,8,28,2014,1,4748,1,8
325,0,249.91,5,7,1,2013,2,6681,2,10
326,0,293.14,3,22,28,2014,5,1845,2,10
327,0,289.55,7,20,16,2017,4,3696,8,13
328,0,299.54,3,12,11,2013,9,4880,3,3
329,0,286.29,3,19,30,2015,9,3679,4,4
330,0,287.68,7,8,23,2015,8,1761,4,4
331,0,267.86,4,8,13,2012,12,6038,1,8
332,0,292.11,7,9,10,2016,7,3062,1,1
333,0,293.6,7,14,2,2013,6,4519,2,10
334,0,264.29,4,14,2,2017,2,5143,2,11
335,0,277.37,5,16,1,2016,4,6830,9,17
336,0,303.25,4,16,27,2013,6,6337,4,4
337,0,269.74,6,12,23,2013,2,4600,9,17
338,0,287.01,1,14,7,2014,4,5485,2,7
339,0,294.89,1,17,18,2016,4,6456,5,6
340,0,284.42,2,13,15,2016,11,4730,5,6
341,0,284.86,3,9,7,2014,5,5120,8,13
342,0,276.41,6,20,29,2014,3,2970,5,6
343,0,290.22,7,7,12,2016,6,1167,2,10
344,0,293.79,6,1,19,2014,7,847,6,9
345,0,273.939,3,15,15,2017,2,5605,2,11
346,0,279.01,5,14,24,2017,3,5577,3,3
347,0,283.26,4,13,15,2012,11,5114,2,10
348,0,266.27,3,7,2,2014,4,6505,4,4
349,0,286.91,3,18,14,2014,5,5125,2,7
350,0,275.14,4,13,17,2014,4,5089,8,13
351,0,293.4,2,14,15,2014,7,5726,2,10
352,0,276.87,7,8,13,2015,12,1656,4,15
353,0,300.72,7,22,12,2015,7,1784,7,12
354,0,268.6,5,5,8,2013,11,2643,3,5
355,0,287.76,6,0,26,2015,9,1371,6,9
356,0,278.53,7,8,1,2016,5,2453,2,11
357,0,293.45,4,8,7,2016,7,5245,2,7
358,0,300.76,7,18,6,2015,9,3412,5,6
359,0,297.22,6,2,5,2015,9,758,4,4
360,0,290.38,1,18,26,2016,9,4044,4,4
361,0,297.61,1,11,13,2015,7,4317,4,15
362,0,278.62,5,1,31,2017,3,427,1,1
363,0,301.81,7,14,26,2016,6,4241,2,11
364,0,300.96,4,14,27,2013,6,5849,2,7
365,0,271.55,2,20,21,2017,3,3019,1,16
366,0,266.58,5,7,27,2015,11,2336,6,9
367,0,292.75,3,16,17,2017,5,6426,4,4
368,0,298.54,4,19,16,2016,6,3908,2,10
369,0,291.06,4,18,10,2015,9,4725,1,1
370,0,258.46,3,9,11,2017,1,3703,1,8
371,0,294.38,3,9,2,2015,9,5428,2,11
372,0,276.49,3,14,26,2017,4,5207,1,8
373,0,261.0,3,2,25,2013,12,282,4,4
374,0,284.938,2,12,25,2016,10,4399,4,4
375,0,290.49,7,5,30,2013,6,520,2,2
376,0,272.72,6,7,5,2016,3,2138,4,20
377,0,288.68,3,15,16,2016,11,5317,5,6
378,0,287.67,4,3,25,2013,7,345,7,12
379,0,274.15,2,19,3,2013,12,3203,6,9
380,0,285.45,2,23,2,2012,10,963,2,11
381,0,285.34,5,20,22,2016,4,3527,5,6
382,0,291.64,6,2,1,2015,8,593,1,1
383,0,269.05,7,12,3,2013,3,4300,2,2
384,0,270.68,2,16,26,2016,1,6600,2,11
385,0,280.37,5,15,6,2015,11,5872,3,5
386,0,274.788,4,8,27,2016,10,5798,2,7
387,0,284.42,3,19,9,2016,11,2901,3,5
388,0,295.34,5,14,11,2013,10,5810,2,10
389,0,270.66,4,1,9,2017,3,364,3,5
390,0,295.17,1,1,20,2015,7,462,3,5
391,0,274.52,6,18,6,2013,4,4160,3,5
392,0,297.01,5,22,12,2013,7,2873,1,1
393,0,277.09,1,23,14,2016,11,873,4,15
394,0,264.53,5,0,20,2013,12,610,3,5
395,0,290.9,4,19,9,2013,5,3487,3,5
396,0,288.68,7,16,6,2014,4,4242,1,1
397,0,283.7,5,10,7,2013,6,4683,1,1
398,0,277.21,5,18,26,2016,2,5367,1,29
399,0,294.51,3,13,8,2015,7,4887,1,1
400,0,257.31,7,12,3,2013,2,3676,2,10
401,0,264.68,7,8,22,2013,12,1600,2,11
402,0,275.02,1,0,1,2013,4,556,3,5
403,0,265.41,3,17,25,2013,12,2735,2,2
404,0,293.66,7,12,8,2014,6,5294,3,5
405,0,283.97900000000004,4,10,6,2016,10,4341,5,6
406,0,280.93,6,2,25,2013,5,516,2,11
407,0,262.52,6,12,14,2013,12,4395,5,6
408,0,292.17,2,9,11,2016,10,4684,3,5
409,0,287.32,1,7,19,2014,5,5909,1,1
410,0,293.87,7,7,9,2015,8,1092,3,5
411,0,278.49,7,8,4,2015,10,2202,2,10
412,0,273.74,3,14,23,2015,12,5182,3,5
413,0,261.23,1,16,4,2013,2,6316,2,10
414,0,294.06,7,20,28,2013,4,2697,3,5
415,0,287.96,4,8,10,2015,9,6222,3,5
416,0,286.724,7,11,19,2017,2,4179,3,5
417,0,279.83,3,13,12,2016,10,4397,1,1
418,0,278.75,2,9,26,2016,4,5321,2,11
419,0,279.48,7,12,30,2017,4,4119,2,11
420,0,293.17,1,3,23,2016,5,339,2,10
421,0,282.76,4,12,23,2013,5,5227,3,3
422,0,288.76,5,14,2,2015,10,6047,3,5
423,0,289.914,2,1,11,2016,10,611,3,3
424,0,274.89,1,12,3,2012,12,4777,2,11
425,0,276.02,4,12,19,2017,1,5032,2,11
426,0,259.9,6,5,25,2014,1,667,2,11
427,0,299.6,1,18,8,2016,8,4093,2,10
428,0,273.82,1,19,21,2016,11,2709,3,5
429,0,290.07,3,16,10,2017,5,6347,3,5
430,0,261.62,6,19,22,2012,12,3132,4,4
431,0,292.33,3,15,1,2013,5,5599,3,5
432,0,293.49,4,14,10,2015,9,5334,3,5
433,0,297.69,7,10,26,2016,6,3956,1,1
434,0,255.57,3,14,11,2013,12,5231,2,7
435,0,291.65,7,22,29,2013,9,1674,2,11
436,0,268.98,2,20,26,2013,2,2818,4,15
437,0,275.02,7,10,22,2017,1,2937,1,8
438,0,277.95,3,22,22,2017,2,2517,3,5
439,0,243.62,7,7,18,2016,12,1037,2,7
440,0,292.08,6,11,13,2017,5,4794,3,5
441,0,256.36,5,6,17,2014,1,5441,7,12
442,0,281.98,3,7,26,2015,8,6268,2,10
443,0,267.89,7,14,23,2014,3,4457,7,12
444,0,287.58,7,17,4,2014,5,4134,6,14
445,0,292.21,5,22,15,2016,4,3127,2,10
446,0,276.96,5,4,4,2016,11,768,3,5
447,0,299.58,3,19,13,2016,7,3039,1,1
448,0,276.01,3,21,6,2016,4,2476,5,6
449,0,278.97,7,14,28,2012,10,3989,3,5
450,0,272.15,4,13,26,2015,11,2987,2,7
451,0,278.29,1,6,14,2016,11,5746,1,1
452,0,257.7,1,0,14,2013,1,429,2,10
453,0,288.56,2,21,25,2015,8,2685,2,2
454,0,289.3,6,10,28,2016,5,3587,6,14
455,0,281.4,7,2,28,2013,4,604,5,6
456,0,297.47,6,11,27,2015,6,3978,1,1
457,0,276.49,2,18,16,2013,4,4860,3,5
458,0,258.9,3,3,22,2014,1,364,2,7
459,0,278.84,6,15,19,2013,10,4885,9,17
460,0,257.07,4,23,15,2016,12,1229,3,5
461,0,299.72,5,18,7,2015,8,4297,5,6
462,0,248.13,2,19,31,2013,12,4504,5,6
463,0,272.8,4,1,11,2013,4,330,3,5
464,0,266.49,2,13,25,2014,3,4766,1,1
465,0,294.83,7,14,22,2013,9,4410,1,8
466,0,285.49,3,14,12,2017,4,5387,2,7
467,0,271.48,1,22,25,2016,1,2826,1,1
468,0,275.92,6,14,12,2013,1,4547,3,5
469,0,274.35,5,22,23,2016,12,2313,2,11
470,0,284.96,1,11,19,2014,5,4170,2,10
471,0,283.31,3,22,22,2013,5,1412,5,6
472,0,261.0,2,12,11,2012,12,4396,1,1
473,0,261.36,5,0,18,2013,1,602,3,5
474,0,284.6,3,22,11,2016,5,1798,5,6
475,0,275.15,7,16,4,2016,12,4242,6,9
476,0,272.54,1,3,13,2014,1,307,5,6
477,0,284.69,7,3,26,2013,5,364,2,10
478,0,274.68,7,2,22,2017,1,530,2,10
479,0,302.02,6,14,18,2015,7,4583,1,8
480,0,280.76,1,5,17,2017,4,2625,5,6
481,0,259.12,7,5,26,2014,1,462,3,3
482,0,293.9,4,9,3,2015,9,5453,8,27
483,0,300.45,3,12,22,2016,6,5280,5,6
484,0,298.79,2,18,23,2016,8,4242,2,10
485,0,276.78,6,10,13,2012,10,4579,3,5
486,0,295.57,2,18,24,2013,9,4887,5,6
487,0,293.53,5,19,9,2016,9,3578,3,5
488,0,300.67,7,10,19,2016,6,4399,2,10
489,0,296.9,1,12,4,2014,8,5274,1,1
490,0,289.22,2,21,24,2013,9,2657,7,12
491,0,289.48,7,3,30,2015,8,388,3,5
492,0,268.71,3,5,6,2013,3,2542,1,1
493,0,288.55,5,5,3,2016,6,3016,3,5
494,0,269.31,2,1,17,2013,12,339,5,6
495,0,289.27,7,7,14,2016,8,1021,3,5
496,0,302.4,7,15,3,2014,8,4723,5,6
497,0,276.08,4,4,29,2015,10,888,4,4
498,0,288.53,1,5,14,2014,7,2937,5,6
499,0,255.68,4,20,6,2014,2,2999,7,12
500,0,293.83,3,18,9,2013,10,4807,3,5
501,0,290.97,7,23,16,2013,6,2149,5,6
502,0,275.34,2,11,20,2016,12,4956,3,5
503,0,271.08,5,17,30,2016,12,5386,3,3
504,0,258.7,4,2,24,2013,1,254,9,17
505,0,287.6,4,12,25,2012,10,4879,1,8
506,0,266.2,7,9,24,2013,3,2742,2,11
507,0,290.61,4,1,31,2014,7,485,3,5
508,0,277.96,2,2,11,2014,3,278,2,10
509,0,281.01,3,17,19,2017,4,6192,4,4
510,0,273.8,7,4,31,2016,1,401,3,5
511,0,260.63,2,7,25,2014,3,6538,3,5
512,0,264.1,4,15,21,2013,2,6103,1,1
513,0,275.5,5,13,27,2013,12,5012,2,7
514,0,289.89,2,7,16,2017,5,6326,5,6
515,0,286.37,7,8,19,2013,5,1700,2,10
516,0,272.77,4,19,3,2014,4,2472,2,2
517,1,288.12,1,0,12,2012,11,1000,6,14
518,0,295.71,2,17,22,2015,9,6635,2,10
519,0,256.25,1,5,23,2013,12,2050,1,1
520,0,299.11,2,19,2,2013,7,3529,8,13
521,0,301.13,6,17,20,2013,7,5077,2,7
522,0,254.29,2,19,12,2016,1,2972,2,11
523,0,272.936,6,6,18,2017,2,1179,5,6
524,0,281.27,6,22,16,2013,11,2671,4,15
525,0,291.71,3,14,1,2013,5,5331,3,3
526,0,274.65,2,18,31,2017,1,4585,2,10
527,0,276.793,6,2,18,2014,1,507,3,3
528,0,294.12,6,2,11,2015,7,617,3,5
529,0,281.35,1,4,28,2016,11,804,2,7
530,0,254.5,3,5,5,2014,2,2602,5,6
531,0,270.61,2,8,2,2016,2,5526,3,5
532,0,296.51,5,17,31,2013,5,6075,1,8
533,0,291.15,1,6,26,2014,5,899,6,9
534,0,262.99,7,9,23,2012,12,2288,5,6
535,0,298.78,6,23,13,2013,7,2069,4,15
536,0,285.63,2,4,25,2015,8,878,1,8
537,0,280.66,5,21,19,2012,10,2942,3,5
